,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume
BAX,0.0,1.97,0.0,0.01,-0.042090002,0.02053,0.39583,-0.06102,0.101339996,1.6638875,2.5377843,17697107968.0,-0.1679416855612449,-0.11283281753889596,0.12123695685909852,0.14751879757290798,0.2552875738795967,1.0,0.2552875738795967,5067970.0
BDX,0.026285512713382506,1.76,0.083,0.098,0.06835,0.03698,0.46273997,0.08367,0.15267,3.1437387,2.574361,64886767616.0,-0.03714611938645007,-0.03147919463894833,0.02700201186593154,0.005129615065421644,0.21963359011682412,1.0,0.21963359011682412,2064460.0
BRK-B,0.0801982179153997,0.0,-0.474,0.016,0.14653,0.063930005,0.30621,0.23959999,0.25908002,2.9879198,0.0011400917,1109812051968.0,0.2608726862257922,0.14134890580196102,0.11532534135582462,0.09087817946959453,0.1939608345539357,1.0,0.1939608345539357,4418706.666666667
BBY,0.059868516763484037,5.32,-0.745,-0.048,0.31633,0.072859995,0.22599001,0.02232,0.04911,0.36804748,5.438156,15284275200.0,-0.037859533159948944,-0.25371751986039526,-0.17012800293039665,-0.1762876240391943,0.3708041854024681,1.0,0.3708041854024681,3492870.0
TECH,0.015765766120850587,0.51,0.294,0.09,0.07825,0.05683,0.66220003,0.13222,0.17761,8.216237,4.722687,9826750464.0,-0.13878521402744215,-0.14890996936991785,-0.1897595234962648,-0.07718618560285784,0.3081266525523395,1.0,0.3081266525523395,1994370.0
BIIB,0.08017785372224082,0.0,0.063,0.029,0.10358,0.05289,0.76122004,0.16869,0.21506001,2.1094196,1.2162232,20410531840.0,-0.3845338808968526,-0.29536609797624613,-0.11444178524142001,0.045042419961969005,0.4210563600954582,1.0,0.4210563600954582,1741240.0
BLK,0.04520297037758945,2.24,0.163,0.226,0.14376001,0.03666,0.49424,0.3121,0.36727002,7.0653925,3.029789,144183459840.0,0.15034217714646303,0.06018797515580232,-0.1234350573875661,-0.04101879842073808,0.27323681101552494,1.0,0.27323681101552494,874846.6666666666
BX,0.025693803348365064,2.8,3.545,1.184,0.28947002,0.12985,1.0,0.21927,0.50751996,13.559393,13.188244,171696996352.0,0.14692838069105485,-0.025085239619096256,-0.2615160880799614,-0.12430853425242039,0.3516447518592823,1.0,0.3516447518592823,4281710.0
BK,0.07094801518315903,2.3,6.414,0.129,0.109910004,0.011,0.0,0.24422,0.35342997,3.164288,1.5867624,58694377472.0,0.5184600020888304,0.19830988448282771,0.03176018942934422,-0.04184247195960533,0.27202362973178296,1.0,0.27202362973178296,4557996.666666667
BA,0.0,0.0,0.0,-0.308,0.0,-0.04269,-0.026080001,-0.17764999,-0.23947,1.8303137,-30.974348,121746972672.0,-0.11264056954986779,-0.005897933824835611,-0.025006079702253214,-0.1312214896182886,0.40440667413524456,1.0,0.40440667413524456,7199890.0
