,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume,Earnings Yield_z,Dividend Yield_z,EPS Growth_z,Sales Growth_z,ROE_z,ROA_z,Gross Margin_z,Net Income Margin_z,Operating Margin_z,Price to Sales_z,Price to Book_z,MarketCap_z,momentum_12m_z,momentum_6m_z,momentum_3m_z,volatility_z,beta_z,idiosyncratic_vol_z,avg_volume_z,predicted_return,rank
CNP,0.044532131179545714,2.48,0.267,0.037,0.10023,0.029649999,0.46210998,0.1179,0.21662001,2.6794808,2.1679091,23158753280.0,0.3027346748285873,0.30036097822493657,0.1358702770993072,0.09608516139524492,0.2641264255763269,1.0,0.2641264255763269,4601273.333333333,-0.00021486445429376322,0.37289047793427543,0.028104100147064992,-0.3055923422303393,-0.546918627213789,-0.8143927080053935,0.06606403277264944,-0.27819653444718695,0.1132180850427954,0.42050971777090557,0.39655904070513726,-0.5781576468656802,1.0685231960662398,2.021829756917233,1.7607092705703402,-0.6647437824767306,,-0.6647437824767306,-0.04899802452392563,0.09369225,23.0
ABBV,0.01128582954627918,3.1,0.0,0.056,0.62292,0.082550004,0.70311,0.07594,0.3328,6.6362796,22.599636,297457188864.0,0.22030626360842098,0.11057657952509925,0.1358702770993072,0.09725390814746593,0.26397938230035234,1.0,0.26397938230035234,6241586.666666667,-1.3058270175586906,0.7708019388361853,-0.3564510454312305,-0.10218337059812359,1.9393152080872231,0.39483453903878246,1.1845060803098317,-0.721148311725438,1.101165468029495,-0.8167567602406651,-2.617216939826952,3.0919525746386016,0.7078630168246519,0.7346465752413631,1.7607092705703402,-0.6667211238585684,,-0.6667211238585684,0.2600952904835263,0.09354592,24.0
WBA,0.0022031539735402087,5.23,0.0,0.075,0.0,0.009430001,0.17639999,0.00769,0.02172,0.4455652,0.97567326,9710972928.0,-0.3451259741076138,0.30036097822493657,0.1358702770993072,0.1858499710221988,0.35389072857493814,1.0,0.35389072857493814,20935693.333333332,-1.6625118525000535,2.137820344837908,-0.3564510454312305,0.10122560103409206,-1.0236739072310468,-1.2765963035774306,-1.25986974191097,-1.4416311239094377,-1.5441323315270599,1.1190412899567606,0.5724194442484863,-0.7580888084172941,-1.7661491494288395,2.021829756917233,1.7607092705703402,0.5423475976263296,,0.5423475976263296,3.0289870920538142,0.09288069,25.0
PARA,0.0022031539735402087,1.71,0.0,0.045,0.0,0.03165,0.33465,0.00769,0.02668,0.4455652,0.48063478,9169638400.0,0.01946928576994922,0.14991580973083596,0.04935907686797236,0.09868413563722167,0.45912467220873443,1.0,0.45912467220873443,9426643.333333334,-1.6625118525000535,-0.12128988479874162,-0.3564510454312305,-0.21994645943782745,-1.0236739072310468,-0.7686752132090205,-0.5254570841560887,-1.4416311239094377,-1.5019545088261452,1.1190412899567606,0.6454399523908066,-0.7653318587840818,-0.1708861832793155,1.0014587887204425,0.9626604935312442,1.9574645429065936,,1.9574645429065936,0.8602731367404922,0.09253934,26.0
BRK-B,0.0801982179153997,0.0,-0.474,0.016,0.14653,0.063930005,0.30621,0.23959999,0.25908002,2.9879198,0.0011400917,297457188864.0,0.2608726862257922,0.14134890580196102,0.11532534135582462,0.09087817946959453,0.21742411951498125,1.0,0.21742411951498125,4418706.666666667,1.4004244249821012,-1.2187553656733638,-1.0391444499410134,-0.530412784560683,-0.326687464240637,-0.030795101841881098,-0.6574425164890715,1.006532418490024,0.47428074102244494,0.32406275281241165,0.7161676780237907,3.0919525746386016,0.8853587738797348,0.9433550945715818,1.571186286256288,-1.292765715409885,,-1.292765715409885,-0.08340007141528802,0.090367734,27.0
CRL,0.0022031539735402087,0.0,0.0,-0.011,0.0070599997,0.0434,0.34764,0.00769,0.07792,2.1598227,2.527,9169638400.0,-0.3451259741076138,-0.11980245554048241,-0.11630074611574936,0.11064930705281051,0.339070410206562,1.0,0.339070410206562,1350506.6666666667,-1.6625118525000535,-1.2187553656733638,-0.3564510454312305,-0.8194676389854105,-0.9900922237640682,-0.5000850655754037,-0.4651725987128594,-1.4416311239094377,-1.066230388827181,0.5830035870970852,0.3435914411211956,-0.7653318587840818,-1.7661491494288395,-0.8278634170375041,-0.5655187339346925,0.34305369175010747,,0.34305369175010747,-0.661557969564339,0.08912775,28.0
TRV,0.08228890201671173,1.61,0.284,0.099,0.18941,0.0317,0.26692,0.10767999,0.22418,1.274268,2.121806,59155345408.0,0.18812431426965337,0.12371927926336479,0.06868497045881639,0.08857904797992777,0.24121860341062937,1.0,0.24121860341062937,1242503.3333333333,1.482527469136758,-0.18546915268614633,0.05258888469699386,0.35816324941162775,-0.12272391632943265,-0.7675322764105796,-0.839781040974405,-0.3860843226574229,0.1775051652526113,0.8599110570335381,0.4033594651669614,-0.09652361775786156,0.5670529800296688,0.8237848931473953,1.1409380541721665,-0.9727931266973957,,-0.9727931266973957,-0.6819096350988842,0.088563725,29.0
DTE,0.050125685142927374,3.22,-0.302,0.012,0.123380005,0.028299998,0.34824002,0.11271,0.16996999,2.253262,2.395254,28068884480.0,0.26212065025618236,0.10531787462576103,0.1279889837695367,0.08913754608107527,0.22358525365652462,1.0,0.22358525365652462,1305356.6666666667,0.2194490282154673,0.8478170603010711,-0.7914160415534972,-0.573235725956939,-0.43680302194415005,-0.8452520244220343,-0.46238800310426464,-0.33298489774733286,-0.283474711843116,0.5537856967108299,0.3630245968340972,-0.5124601423659563,0.8908191597372929,0.6989802267417146,1.688005892435591,-1.2099148307544254,,-1.2099148307544254,-0.6700658338174612,0.08722043,30.0
GILD,0.003409906768034102,2.84,0.248,0.064,0.02286,0.110290006,0.78260005,0.01669,0.33069,4.826522,7.1831894,138781802496.0,0.5156492930530967,0.30036097822493657,0.1358702770993072,0.08626602282958773,0.25589769306871146,1.0,0.25589769306871146,9196466.666666666,-1.615121585406182,0.6039358423289326,0.0007387527089091111,-0.01653748780561172,-0.9149377433959225,1.0289359205312782,1.5534065238900145,-1.3466224014236354,1.0832228861950335,-0.25085676759846326,-0.3432184327190875,0.9688775517334868,2.0001173301191235,2.021829756917233,1.7607092705703402,-0.7753983717433578,,-0.7753983717433578,0.816899674188196,0.08650786,31.0
ALL,0.08188345707697839,1.93,0.282,0.113,0.23586,0.03618,0.23541,0.0728,0.1551,0.85780185,2.8283036,54990245888.0,0.3222315872012329,0.1254937772029585,0.07878350486184083,0.1014041904835341,0.24326000203745088,1.0,0.24326000203745088,2001490.0,1.4666052818640283,0.019904504553548946,0.04970832180876692,0.5080435442985235,0.09822073853240132,-0.6651251392702731,-0.9860138459256104,-0.7542957993482622,-0.40992305897706216,0.9901374427222769,0.29914774054844334,-0.1522526061109626,1.1538306744815896,0.8358201495721137,1.234095044349975,-0.9453417389689287,,-0.9453417389689287,-0.538889579065003,0.08556073,32.0
